"astro-ph/0406596","Scott C. Chapman","S.C. Chapman, Ian Smail, A.W. Blain, R.J. Ivison","A population of hot, dusty ultra-luminous galaxies at z~2","10 pages, 4 figures, Accepted in ApJ","Astrophys.J. 614 (2004) 671-678","10.1086/423833",,"astro-ph",,"  We report spectroscopic redshifts for 18 microJy-radio galaxies at mean
redshift of z=2.2 that are faint at both submmillimeter (submm) and optical
wavelengths. While the radio fluxes of these galaxies could indicate
far-infrared (far-IR) luminosities comparable to high-redshift
submillimeter-selected galaxies (>10^12 Lsun), none are detected in the submm.
We propose that this new population of galaxies represents an extension of the
high-redshift submm galaxy population, but with hotter characteristic dust
temperatures that shift the peak of their far-IR emission to shorter
wavelengths, reducing the submm flux below the sensitivity of current
instruments. Therefore, surveys in the submm waveband may miss up to half of
the most luminous, dusty galaxies at z~2. Mid-infrared observations with
Spitzer will be a powerful tool to test this hypothesis.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 13:37:29 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jun 2004 18:02:45 GMT""}]","2009-11-10"
"astro-ph/0406605","Dharam Lal Vir","Dharam Vir Lal and A. Pramesh Rao","3C 129 : The GMRT observations","9 Pages, 5 Figures, Accepted for publication in Astronomy &
  Astrophysics","Astron.Astrophys. 420 (2004) 491-499","10.1051/0004-6361:20035777",,"astro-ph",,"  We present radio maps of the head-tail radio galaxy, 3C 129 at 240 and 610
MHz using the Giant Metrewave Radio Telescope. We have studied in detail the
morphology of the source and the distribution of spectral index over the
object. We find large-scale spectral steepening along the jet away from the
core. Using synchrotron spectral ageing theory, we infer the age (time since
particle acceleration) of electrons at various locations along the jet and
ascribe an age of $\sim$200 Myr to 3C 129. We find that the ""Crosspiece"" has a
spectral index of ${\sim}-1$, similar to the jet, which is not consistent with
the suggestion by Lane et al. (2002) that it could be a radio relic. We have
also studied 3C 129.1 and the other sources in the field.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2004 16:39:03 GMT""}]","2015-06-24"
"astro-ph/0406606","Kiyotomo Ichiki","Kiyotomo Ichiki, Kouji Nakamura","Stochastic Gravitational Wave Background in Brane World Cosmology","4 pages, 4 figures",,,,"astro-ph hep-th",,"  We investigate the cosmological evolution of gravitational waves in
Friedman-Robertson-Walker brane world models embedded in a five dimensional
anti de-Sitter spacetime. To predict the spectrum of stochastic gravitational
background at present generated in the inflationary phase, we numerically
calculate the evolution of gravitational waves according to the method
developed in our previous paper [K. Ichiki and K. Nakamura,
arXiv:hep-th/0310282]. The resulting logarithmic energy spectrum is
significantly altered from that of the standard four dimensional inflationary
models in the frequency range f > f_{AdS} ~ 10^{-4} Hz, which corresponds to
the curvature scale we set of anti de-Sitter spacetime, $l ~ 1$mm.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 12:21:49 GMT""}]","2007-05-23"
"astro-ph/0406608","Pier Stefano Corasaniti","P.S. Corasaniti (Columbia U., ISCAP), M. Kunz (Sussex U., Astron.
  Ctr.), D. Parkinson (Portsmouth U., ICG), E.J. Copeland (Sussex U.), B.A.
  Bassett (Portsmouth U., ICG and Kyoto U.)","The foundations of observing dark energy dynamics with the Wilkinson
  Microwave Anisotropy Probe","14 pages, 14 figures. References added, matches PRD accepted version","Phys.Rev.D70:083006,2004","10.1103/PhysRevD.70.083006",,"astro-ph gr-qc hep-ph hep-th",,"  Detecting dark energy dynamics is the main quest of current dark energy
research. Addressing the issue demands a fully consistent analysis of CMB,
large scale structure and SN-Ia data with multi-parameter freedom valid for all
redshifts. Here we undertake a ten parameter analysis of general dark energy
confronted with the first year WMAP, 2dF galaxy survey and latest SN-Ia data.
Despite the huge freedom in dark energy dynamics there are no new degeneracies
with standard cosmic parameters apart from a mild degeneracy between
reionisation and the redshift of acceleration, both of which effectively
suppress small scale power. Breaking this degeneracy will help significantly in
detecting dynamics, if it exists. Our best-fit model to the data has
significant late-time evolution at z<1.5. Phantom models are also considered
and we find that the best-fit crosses w=-1 which, if confirmed, would be a
clear signal for radically new physics. Treatment of such rapidly varying
models requires careful integration of the dark energy density usually not
implemented in standard codes, leading to crucial errors of up to 5%.
Nevertheless cosmic variance means that standard LCDM models are still a very
good fit to the data and evidence for dynamics is currently very weak.
Independent tests of reionisation or the epoch of acceleration (e.g. ISW-LSS
correlations) or reduction of cosmic variance at large scales (e.g. cluster
polarisation at high redshift) may prove key in the hunt for dynamics.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 13:05:55 GMT""},{""version"":""v2"",""created"":""Tue, 21 Sep 2004 14:45:24 GMT""}]","2008-11-26"
"astro-ph/0406609","Bing Zhang","Bing Zhang (UNLV) and Abraham Loeb (Harvard)","A model for the flaring radio emission in the double pulsar system
  J0737-3039","ApJ Letters, in press","Astrophys.J. 614 (2004) L53-L56","10.1086/425339",,"astro-ph",,"  The binary J0737-3039 A & B includes two pulsars in a highly relativistic
orbit. The pulsed radio flux from pulsar B brightens considerably during two
portions of each orbit. This phenomenon cannot be naturally triggered by the
illumination of $\gamma$-rays or X-rays from pulsar A or the bow shock around
pulsar B. Instead, we explain these periodic flares quantitatively as episodes
during which pairs from pulsar A's wind flow into the open field line region of
pulsar B and emit curvature radiation at radio frequencies within an altitude
of $\sim 10^8$ cm. The radio photons then travel through B's magnetosphere and
eventually reach the observer on the other side of the pulsar. Our model
requires that A's wind be anisotropic and that B's spin axis be somewhat
misaligned relative to the orbital angular momentum. We estimate the expected
$\gamma$-ray and X-ray emission from the system.
","[{""version"":""v1"",""created"":""Sun, 27 Jun 2004 22:25:22 GMT""},{""version"":""v2"",""created"":""Fri, 20 Aug 2004 22:05:16 GMT""}]","2009-11-10"
"astro-ph/0406610","Pierantonio Cinzano","Pierantonio Cinzano (1,2), Cristopher D. Elvidge (3)((1) Dipartimento
  di Astronomia, Padova, Italy, (2) Istituto di Scienza e Tecnologia
  dell'Inquinamento Luminoso (ISTIL), Italy, (3) NOAA National Geophysical Data
  Center, Boulder, USA)","Night sky brightness at sites from DMSP-OLS satellite measurements","14 pages, 12 figures, accepted for publication in MNRAS, 17 june 2004",,"10.1111/j.1365-2966.2004.08132.x",,"astro-ph",,"  We apply the sky brightness modelling technique introduced and developed by
Roy Garstang to high-resolution DMSP-OLS satellite measurements of upward
artificial light flux and to GTOPO30 digital elevation data in order to predict
the brightness distribution of the night sky at a given site in the primary
astronomical photometric bands for a range of atmospheric aerosol contents.
This method, based on global data and accounting for elevation, Earth curvature
and mountain screening, allows the evaluation of sky glow conditions over the
entire sky for any site in the World, to evaluate its evolution, to disentangle
the contribution of individual sources in the surrounding territory, and to
identify main contributing sources. Sky brightness, naked eye stellar
visibility and telescope limiting magnitude are produced as 3-dimensional
arrays whose axes are the position on the sky and the atmospheric clarity. We
compared our results to available measurements.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 01:25:31 GMT""}]","2009-11-10"
"astro-ph/0406611","Dharam Lal Vir","Dharam Vir Lal","Seyfert galaxies: Nuclear Radio Structure and Unification","8 pages, 2 figures (8 panels). PhD thesis abstract (Published in the
  Bulletin of Astronomical Society of India (this version is slightly different
  from the published version with minor differences))","Bull.Astron.Soc.India 30 (2002) 777",,,"astro-ph",,"  We have observed a sample of Seyfert (Sy) galaxies with the global Very Long
Baseline Interferometry (VLBI) to test the predictions of the unification
scheme for the Sy galaxies which hypothesises that Sys of Type 1 and of Type 2
constitute a single population of objects. If Sy 1 and Sy 2 galaxies differ
only in the orientation of the axisymmmetric active nucleus with respect to the
observer, then, the parsec scale radio structures of the two types should be
similar.
  The overall goal of the thesis is to rigorously test the predictions of the
unified scheme hypothesis for the Sy galaxies.
  We chose a sample of 10 Sy 1s and 10 Sy 2s such that the two subsamples were
intrinsically similar within the framework of the unified scheme. This was done
by matching them as far as possible in the orientation-independent parameters
{\it viz.}, host galaxy properties and measures of intrinsic Active Galactic
Nuclei (AGN) power.
  We here present the results obtained from these observations and their
implications on the unification scheme. We also discuss the results obtained
from the measurements at all IRAS and 2-10 keV X-ray wavebands for our Sy
galaxy sample using data from the literature.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 04:55:06 GMT""}]","2007-05-23"
"astro-ph/0406612","Chen Yu Qin","Y.Q. Chen (National Astronomical Observatories, China), P. E. Nissen
  (Institute of Physics and Astronomy, University of Aarhus, Denmark), G. Zhao
  (National Astronomical Observatories, China)","The [Zn/Fe] -- [Fe/H] trend for disk and halo stars","10 pages, 9 figures, use aa.cls","Astron.Astrophys. 425 (2004) 697-705","10.1051/0004-6361:20047191",,"astro-ph",,"  Zn abundances, derived from a model atmosphere analysis of the 6362.35 A ZnI
line, are presented for 44 thin disk, 10 thick disk and 8 halo dwarf stars in
the metallicity range -1.0 [Fe/H] +0.2. It is found that [Zn/Fe] in thin disk
stars shows a slight increasing trend with decreasing metallicity reaching a
value [Zn/Fe] ~ +0.1 at [Fe/H] = -0.6. The thick disk stars in the metallicity
range -0.9 < [Fe/H] < -0.6 have an average [Zn/Fe] ~ +0.15 dex, whereas five
alpha-poor and Ni-poor halo stars in the same metallicity range have [Zn/Fe] ~
0.0 dex. These results indicate that Zn is not an exact tracer of Fe as often
assumed in abundance studies of damped Lyman-alpha systems (DLAs). A better
understanding of the nucleosynthesis of Zn is needed in order to obtain more
detailed information on the past history of star formation in DLAs from e.g.
the observed sulphur/zinc ratio.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 04:56:39 GMT""}]","2009-11-10"
"astro-ph/0406613","Steffen Mieske","S. Mieske, L. Infante, N. Benitez, D. Coe, J.P. Blakeslee, K. Zekser,
  H. Ford, T.J. Broadhurst, G.D. Illingworth, G.F. Hartig, M. Clampin, D.R.
  Ardila, F. Bartko, R.J. Bouwens, R.A. Brown, C.J. Burrows, E.S. Cheng, N.J.G.
  Cross, P.D. Feldman, M. Franx, D.A. Golimowski, T. Goto, C. Gronwall, B.
  Holden, N. Homeier, R.A. Kimble, J.E. Krist, M.P. Lesser, A.R. Martel, F.
  Menanteau, G.R. Meurer, G.K. Miley, M. Postman, P. Rosati, M. Sirianni, W.B.
  Sparks, H.D. Tran, Z.I. Tsvetanov, R.L. White, W. Zheng","Ultra Compact Dwarf galaxies in Abell 1689: a photometric study with the
  ACS","29 pages, 10 figures, accepted for publication in the October 2004
  issue of the Astronomical Journal",,"10.1086/423701",,"astro-ph",,"  The properties of Ultra Compact Dwarf (UCD) galaxy candidates in Abell 1689
(z=0.183) are investigated, based on deep high resolution ACS images. A UCD
candidate has to be unresolved, have i<28 (M_V<-11.5) mag and satisfy color
limits derived from Bayesian photometric redshifts. We find 160 UCD candidates
with 22<i<28 mag. It is estimated that about 100 of these are cluster members,
based on their spatial distribution and photometric redshifts. For i>26.8 mag,
the radial and luminosity distribution of the UCD candidates can be explained
well by Abell 1689's globular cluster (GC) system. For i<26.8 mag, there is an
overpopulation of 15 +/- 5 UCD candidates with respect to the GC luminosity
function. For i<26 mag, the radial distribution of UCD candidates is more
consistent with the dwarf galaxy population than with the GC system of Abell
1689. The UCD candidates follow a color-magnitude trend with a slope similar to
that of Abell 1689's genuine dwarf galaxy population, but shifted fainter by
about 2-3 mag. Two of the three brightest UCD candidates (M_V ~ -17 mag) are
slightly resolved. At the distance of Abell 1689, these two objects would have
King-profile core radii of ~35 pc and r_eff ~300 pc, implying luminosities and
sizes 2-3 times those of M32's bulge. Additional photometric redshifts obtained
with late type stellar and elliptical galaxy templates support the assignment
of these two resolved sources to Abell 1689. Our findings imply that in Abell
1689 there are at least 10 UCDs with M_V<-12.7 mag. Compared to the UCDs in the
Fornax cluster they are brighter, larger and have colors closer to normal dwarf
galaxies. This suggests that they may be in an intermediate stage of the
stripping process. Spectroscopy is needed to definitely confirm the existence
of UCDs in Abell 1689.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 08:34:37 GMT""}]","2009-11-10"
"astro-ph/0406614","Joerg R. Hoerandel","T. Antoni, et al, KASCADE Collaboration","Primary Proton Spectrum of Cosmic Rays measured with Single Hadrons","13 pages, accepted by Astrophysical Journal","Astrophys.J. 612 (2004) 914-920","10.1086/422674",,"astro-ph",,"  The flux of cosmic-ray induced single hadrons near sea level has been
measured with the large hadron calorimeter of the KASCADE experiment. The
measurement corroborates former results obtained with detectors of smaller size
if the enlarged veto of the 304 m^2 calorimeter surface is encounted for. The
program CORSIKA/QGSJET is used to compute the cosmic-ray flux above the
atmosphere. Between E_0=300 GeV and 1 PeV the primary proton spectrum can be
described with a power law parametrized as
dJ/dE_0=(0.15+-0.03)*E_0^{-2.78+-0.03} m^-2 s^-1 sr^-1 TeV^-1. In the TeV
region the proton flux compares well with the results from recent measurements
of direct experiments.
","[{""version"":""v1"",""created"":""Mon, 28 Jun 2004 09:07:27 GMT""}]","2009-11-10"
