"cond-mat/0407646","C. J. Bolech","C. J. Bolech, N. Andrei","Solution of the Multi-Channel Anderson Impurity Model: Ground state and
  thermodynamics","28 pages, 8 figures, 1 table","Phys. Rev. B 71, 205104 (2005)","10.1103/PhysRevB.71.205104",,"cond-mat.str-el",,"  We present the solution of the SU(N) x SU(M) Anderson impurity model using
the Bethe-Ansatz. We first explain what extensions to the formalism were
required for the solution. Subsequently we determine the ground state and
derive the thermodynamics over the full range of temperature and fields. We
identify the different regimes of valence fluctuation at high temperatures,
followed by moment formation or intrinsic mixed valence at intermediate
temperatures and a low temperature non-Fermi liquid phase. Among other things
we obtain the impurity entropy, charge valence and specific heat over the full
range of temperature. We show that the low-energy physics is governed by a line
of fixed points. This describes non-Fermi-liquid behavior in the integral
valence regime, associated with moment formation, as well as in the mixed
valence regime where no moment forms.
","[{""version"":""v1"",""created"":""Sat, 24 Jul 2004 17:36:43 GMT""},{""version"":""v2"",""created"":""Sat, 28 May 2005 19:04:46 GMT""}]","2007-05-23"
"cond-mat/0407647","Alexei D. Kiselev","Peizhi Xu, Vladimir Chigrinov, Alexei D. Kiselev","Optical response of a nematic liquid crystal cell at splay-bend
  transition: model and dynamic simulation","uses revtex4, 14 pages, 10 figures","Liquid Crystals 32, No 6, 699-706 (2005)",,,"cond-mat.mtrl-sci cond-mat.soft",,"  We study dynamical optical response of a nematic liquid crystal cell that
undergoes the splay-bend transition after applying the voltage across the cell.
We formulate a simplified model that takes into account both the flexoelectric
coupling and the surface rotational viscosity. The dynamic equations of the
model were solved numerically to calculate temporal evolution of the director
profile and the transmittance. We evaluate the response time as a function of a
number of parameters characterising dielectric and elastic anisotropies,
asymmetry of the surface pretilt angles, anchoring energy, surface rotational
viscosity and flexoelectricity.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 05:24:03 GMT""}]","2007-05-23"
"cond-mat/0407648","Goetz S. Uhrig","G.S. Uhrig, K.P. Schmidt and M. Gr\""uninger","Magnetic excitations in the stripe phase of high-T_c superconductors","3 pages, 3 figures included, submitted to the proceedings of JEMS
  2004","J. Mag. Mag. Mater. 290-291, 330 (2005)","10.1016/j.jmmm.2004.11.230",,"cond-mat.supr-con cond-mat.str-el",,"  The magnetic excitations in the stripe phase of high-T_c superconductors are
investigated in a model of spin ladders which are effectively coupled via
charged stripes. Starting from the effective single-triplon model for the
isolated spin ladder, the quasi-one-dimensional spin system can be described
straightforwardly. Very good agreement is obtained with recent neutron
scattering data on La_(15/8)Ba_(1/8)CuO_4 (no spin gap) and YBa_2Cu_3O_(6.6)
(gapped). The signature of quasi-one-dimensional spin physics in a
single-domain stripe phase is predicted.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 09:57:36 GMT""}]","2016-08-16"
"cond-mat/0407649","J. P. Huang","J. P. Huang, L. Dong, K. W. Yu","Optical nonlinearity enhancement of graded metal-dielectric composite
  films","11 pages, 2 figures. To be published in Europhysics Letters","Europhys. Lett. 67, 854 (2004)","10.1209/epl/i2004-10107-8",,"cond-mat.mtrl-sci physics.optics",,"  We have derived the local electric field inside graded metal-dielectric
composite films with weak nonlinearity analytically, which further yields the
effective linear dielectric constant and third-order nonlinear susceptibility
of the graded structures. As a result, the composition-dependent gradation can
produce a broad resonant plasmon band in the optical region, resulting in a
large enhancement of the optical nonlinearity and hence a large figure of
merit.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 10:46:18 GMT""}]","2007-05-23"
"cond-mat/0407650","J. P. Huang","J. P. Huang, C. Holm","Magnetization of polydisperse colloidal ferrofluids: Effect of
  magnetostriction","23 pages, 4 figures. To be accepted for publication in Phys. Rev. E","Phys. Rev. E 70, 061404 (2004).","10.1103/PhysRevE.70.061404",,"cond-mat.soft physics.chem-ph",,"  We exploit magnetostriction in polydisperse ferrofluids in order to generate
nonlinear responses, and apply a thermodynamical method to derive the desired
nonlinear magnetic susceptibility. For an ideal gas, this method has been
demonstrated to be in excellent agreement with a statistical method. In the
presence of a sinusoidal ac magnetic field, the magnetization of the
polydisperse ferrofluid contains higher-order harmonics, which can be extracted
analytically by using a perturbation approach. We find that the harmonics are
sensitive to the particle distribution and the degree of field-induced
anisotropy of the system. In addition, we find that the magnetization is higher
in the polydisperse system than in the monodisperse one, as also found by a
recent Monte Carlo simulation. Thus, it seems possible to detect the size
distribution in a polydisperse ferrofluid by measuring the harmonics of the
magnetization under the influence of magnetostriction.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 11:14:31 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jul 2004 17:57:29 GMT""}]","2009-11-10"
"cond-mat/0407651","Namiko Mitarai","Namiko Mitarai and Hiizu Nakanishi","Bagnold scaling, density plateau, and kinetic theory analysis of dense
  granular flow","4 pages, 3 figures. Title changed. Fig.1 replaced. To appear in PPL","Phys. Rev. Lett. 94, 128001 (2005)","10.1103/PhysRevLett.94.128001",,"cond-mat.stat-mech cond-mat.soft",,"  We investigate the bulk rheology of dense granular flow down a rough slope,
where the density profile has been found to show a plateau except for the
boundary layers in simulations [Silbert {\it et al.}, Phys. Rev. E {\bf 64},
051302 (2001)]. It is demonstrated that both the Bagnold scaling and the
framework of kinetic theory are applicable in the bulk, which allows us to
extract the constitutive relations from simulation data. The detailed
comparison of our data with the kinetic theory shows quantitative agreement for
the normal and shear stresses, but there exists slight discrepancy in the
energy dissipation, which causes rather large disagreement in the kinetic
theory analysis of the flow.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 11:32:45 GMT""},{""version"":""v2"",""created"":""Wed, 15 Dec 2004 12:52:04 GMT""},{""version"":""v3"",""created"":""Mon, 28 Feb 2005 02:14:38 GMT""}]","2009-11-10"
"cond-mat/0407652","J. P. Huang","J. P. Huang","New nonlinear dielectric materials: Linear electrorheological fluids
  under the influence of electrostriction","11 pages","Phys. Rev. E 70, 042501 (2004)","10.1103/PhysRevE.70.042501",,"cond-mat.mtrl-sci",,"  The usual approach to the development of new nonlinear dielectric materials
focuses on the search for materials in which the components possess an
inherently large nonlinear dielectric response. In contrast, based on
thermodynamics, we have presented a first-principles approach to obtain the
electrostriction-induced effective third-order nonlinear susceptibility for the
electrorheological (ER) fluids in which the components have inherent linear,
rather than nonlinear, responses. In detail, this kind of nonlinear
susceptibility is in general of about the same order of magnitude as the
compressibility of the linear ER fluid at constant pressure. Moreover, our
approach has been demonstrated in excellent agreement with a different
statistical method. Thus, such linear ER fluids can serve as a new nonlinear
dielectric material.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 12:10:39 GMT""},{""version"":""v2"",""created"":""Sat, 6 Nov 2004 20:15:27 GMT""}]","2009-11-10"
"cond-mat/0407653","Luca Salasnich","Luca Salasnich (INFM and Univ. Milano)","Triaxial Bright Solitons in Bose-Condensed Atomic Vapors","14 pages, 4 figures","Laser Phys. 15, 366-370 (2005)",,,"cond-mat.stat-mech",,"  The properties of triaxial bright solitons (TBSs) made of attractive
Bose-Einstein condensed atoms under transverse anisotropic harmonic confinement
are investigated by using a variational approach. We show that these metastable
TBSs change their shape from cigar-like to disc-like by increasing the
inter-atomic strength. Moreover, we find that the collective oscillations of a
TBS strongly depend on the anisotropy parameter of the external potential. We
calculate in detail the properties of TBS close to the collapse, which sets up
at a critical value of the inter-atomic strength. This critical strength is
maximal in the isotropic (axially symmetric) case and slightly reduces by
increasing the anisotropy. Finally, we investigate the formation of multiple
TBSs via modulational instability induced by a sudden change of the scattering
length from positive to negative.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 14:57:00 GMT""}]","2007-05-23"
"hep-ph/0407288","Michael Eides","Michael I. Eides (University of Kentucky, USA, and Petersburg Nuclear
  Physics Institute, Russia), Howard Grotch (University of Kentucky, USA), and
  Valery A. Shelyuto (D. I. Mendeleev Institute of Metrology, Russia)","Three-Loop Radiative-Recoil Corrections to Hyperfine Splitting Generated
  by One-Loop Fermion Factors","11 pages, 3 figures, 1 table","Phys.Rev. D70 (2004) 073005","10.1103/PhysRevD.70.073005","UK/04-16","hep-ph physics.atom-ph",,"  We consider three-loop radiative-recoil corrections to hyperfine splitting in
muonium generated by diagrams with one-loop radiative photon insertions both in
the electron and muon lines. An analytic result for these nonlogarithmic
corrections of order $\alpha(Z^2\alpha)(Z\alpha)(m/M)\widetilde E_F$ is
obtained. This result constitutes a next step in the implementation of the
program of reduction of the theoretical uncertainty of hyperfine splitting
below 10 Hz.
","[{""version"":""v1"",""created"":""Sat, 24 Jul 2004 18:00:56 GMT""}]","2009-11-10"
"hep-ph/0407289","Antonio Bouzas","Virendra Gupta","On tetraquark meson states","6 pages, LaTeX 2e, major changes in pages 2 and 3, new references
  added","Int.J.Mod.Phys.A20:5891-5896,2005","10.1142/S0217751X05025437",,"hep-ph",,"  It is suggested that the narrow meson state seen in the the SELEX experiment
is a $(c\bar{s} s\bar{s})$ tetraquark state. Characteristics of other possible
tetraquarks formed out of $c$ and $s$ quarks and antiquarks are considered.
","[{""version"":""v1"",""created"":""Sun, 25 Jul 2004 00:54:35 GMT""},{""version"":""v2"",""created"":""Wed, 25 Aug 2004 14:47:54 GMT""},{""version"":""v3"",""created"":""Wed, 30 Mar 2005 00:03:19 GMT""}]","2010-11-05"
