"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"astro-ph/0409160","Norbert Przybilla","N. Przybilla, F. Bresolin, K. Butler, A. Kaufer, R.P. Kudritzki, K.A.
  Venn","A Supergiants","8 pages, 7 figures; to appear in: conference proceedings IAU
  Symposium 224: The A-Star Puzzle, J. Zverko, W.W. Weiss, J. Ziznovsky, S.J.
  Adelman (eds.)",,"10.1017/S174392130400482X",,"astro-ph",,"  A-type supergiants are primary targets for quantitative spectroscopy of
individual stars in nearby galaxies because of their intrinsic brightness. An
overview is given on the non-LTE techniques required for their analysis.
Applications concentrate on placing observational constraints on evolutionary
models for massive stars and their host galaxies by detailed abundance
analyses. Results from high-resolution studies of A-type supergiants in Local
Group galaxies and from intermediate-resolution multi-object spectroscopy of
supergiants far beyond the Local Group are summarised.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:09:36 GMT""}]","2009-11-10"
"astro-ph/0409161","Vinod Johri","Vinod B. Johri (Minnesota U.)","Parametrization of Dark Energy Equation of State","7 pages, no figures, references added",,,"FTPI-MINN-04/32","astro-ph",,"  A comparative study of various parametrizations of the dark energy equation
of state $w(z)$ and its variation with the redshift is made. Astrophysical
constraints from 'integrated tracking' are laid down to test the physical
viability and cosmological compatibility of these parametrizations. A critical
evaluation of the 4-index Hannestad parametrization is done. It is found to be
simple and transparent in probing the evolution of the dark energy during the
expansion history of the universe but it does not satisfy the BBN constraint on
the dark energy density parameter for the best fit values; however it looks
more compatible with the observations in the extended parameter space with $w<<
-1$.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:16:48 GMT""},{""version"":""v2"",""created"":""Fri, 10 Sep 2004 15:32:40 GMT""}]","2007-05-23"
"astro-ph/0409162","Joerg Colberg","Joerg M. Colberg, Ravi K. Sheth, Antonaldo Diaferio, Liang Gao, Naoki
  Yoshida","Voids in a $\Lambda$CDM Universe","12 pages, 16 figures, submitted to MNRAS; 13 pages, 17 figures,
  revised version, accepted for publication","Mon.Not.Roy.Astron.Soc. 360 (2005) 216-226","10.1111/j.1365-2966.2005.09064.x",,"astro-ph",,"  We study the formation and evolution of voids in the dark matter distribution
using various simulations of the popular $\Lambda$ Cold Dark Matter cosmogony.
We identify voids by requiring them to be regions of space with a mean
overdensity of -0.8 or less. Each of the simulations contains thousands of
voids. The distribution of void sizes in the different simulations shows good
agreement. Voids very clearly correspond to minima in the smoothed initial
density field. We find a universal void mass profile of the form
$\rho(<r)/\rho(r_{\rm eff}) \propto \exp[(r/r_{\rm eff})^\alpha]$ where $r_{\rm
eff}$ is the effective radius of a void and $\alpha\sim 2$. The mass function
of haloes in voids is steeper than that of haloes that populate denser regions.
The abundances of void haloes seem to evolve somewhat more strongly between
redshifts $\sim 1$ and 0 than the global abundances of haloes. (abridged)
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:48:33 GMT""},{""version"":""v2"",""created"":""Tue, 5 Apr 2005 17:08:57 GMT""}]","2009-11-10"
"astro-ph/0409163","Tomi Koivisto","Tomi Koivisto, Hannu Kurki-Suonio and Finn Ravndal","The CMB spectrum in Cardassian models","11 pages, 11 figures, to appear in PRD","Phys.Rev. D71 (2005) 064027","10.1103/PhysRevD.71.064027",,"astro-ph",,"  The dark energy in the Universe is described in the context of modified
Friedmann equations as a fluid parameterized by the density of dark matter and
undergoing an adiabatic expansion. This formulation is applied to the
Cardassian model. Choosing then parameters consistent with the supernova
observations, it gives a background expansion in which the cosmic temperature
fluctuations are calculated. The resulting spectrum is quite similar to what is
obtained in the standard concordance model. If the Cardassian fluid is
interpreted as a new kind of interacting dark matter, its overdensities are
driven into oscillations when the interaction energy is rising in importance.
This does not occur in a description of the Cardassian fluctuations motivated
by theories of modified gravity. There the energy of the underlying matter is
also conserved, which requires appearance of effective shear stress in the late
Universe. In both approaches that allow fluctuations the thermal power spectrum
at large scales is much too strongly enhanced by the late integrated
Sachs-Wolfe effect. With the interacting dark matter assumption, we conclude
that the Cardassian model is ruled out by observations, expect in a small
neighbourhood of the $\Lambda$CDM limit.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:03:21 GMT""},{""version"":""v2"",""created"":""Mon, 25 Oct 2004 14:56:44 GMT""},{""version"":""v3"",""created"":""Thu, 10 Mar 2005 13:07:06 GMT""}]","2009-11-10"
"astro-ph/0409164","Shauna Sallmen","S. Sallmen (UWisc-La Crosse) and B.Y. Welsh (SSL, UC Berkeley)","Intermediate-velocity gas observed towards the Shajn 147 SNR","11 pages, 5 figures, Latex, accepted for publication in A&A","Astron.Astrophys. 426 (2004) 555","10.1051/0004-6361:20040093",,"astro-ph",,"  (Abridged) We present high-resolution spectra of the interstellar NaI and
CaII absorption lines for 3 early-type stars along the line-of-sight towards
the Shajn 147 SNR. These are supplemented with far-UV aborption spectra of HD
36665 and HD 37318 recorded with the NASA FUSE satellite. The observations
reveal intermediate-velocity (IV) absorption features at V_helio = +92 km/s
towards HD 37318 and -65 & -52 km/s towards HD 36665. These IV components can
be associated with the expansion of the SNR.
  The observations suggest that the IV component at +92 km/s towards HD 37318
is composed mainly of warm and ionized gas. The two IV components observed
towards HD 36665 are likely composed of both neutral and ionized gas shells.
Highly ionized gas was detected in the OVI (1032\AA) absorption line at +40
km/s towards both stars. This hot gas component is characterized by a columnn
density ratio (N(CIV)/N(OVI) < 0.27) consistent with that predicted by current
models of evolved SNRs, but we cannot preclude its origin in the ISM.
  Column-density ratios have been derived for the IV gas components detected
towards S147, as well as for fast-moving gas observed towards two other SNRs in
order to gain some insight into the behavior of element abundances in the
disturbed interstellar gas associated with these regions. In all cases except
for Na and Ca, these elements appear to be present with near-solar abundance
ratios. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:24:27 GMT""}]","2009-11-10"
"astro-ph/0409165","Letizia Stanghellini","Letizia Stanghellini","Clues on post-Asymptotic Giant Branch Evolution and Planetary Nebulae
  Populations from the Magellanic Clouds","12 pages, 6 figures Invited review to be published in the proceedings
  of the ESO workshop ""Planetary Nebulae beyond the Milky Way"", Springer-Verlag
  Fig. 2 in jpg format",,,,"astro-ph",,"  The recent HST optical images, and the optical and ultraviolet spectra, of
Magellanic planetary nebulae (PNe), together with the large data-base that has
been collected in the past decade, allows unprecedented insight in the
evolution of PNe and their central stars. In this paper we present a selection
of recent results: The analysis of PN morphology, both in the optical and
ultra-violet emission lines; the relation between nebular morphology and the
chemistry produced by stellar evolution; the direct determination of the
transition time from observations; and the study of the nature and evolutionary
stage of the components of the planetary nebula luminosity function.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:33:36 GMT""}]","2007-05-23"
"astro-ph/0409166","Paul Frampton","Paul H. Frampton","Dark Energy - a Pedagogic Review","Keynote talk to joint session of 5th Rencontres du Vietnam,
  Hanoi.August 2004. 6 pages. Minor corections",,,,"astro-ph gr-qc hep-ph hep-th",,"  In an introductory manner, the nature of dark energy is addressed, how it is
observed and what further tests are needed to reconstruct its properties.
Several theoretical approaches to dark energy will be discussed.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:51:59 GMT""},{""version"":""v2"",""created"":""Fri, 10 Sep 2004 17:54:11 GMT""},{""version"":""v3"",""created"":""Sat, 11 Sep 2004 15:45:53 GMT""}]","2007-05-23"
"astro-ph/0409167","Andrew Becker","A. C. Becker, A. Rest, C. Stubbs, G. A. Miknaitis, A. Miceli, R.
  Covarrubias, S. L. Hawley, C. Aguilera, R. C. Smith, N. B. Suntzeff, K.
  Olsen, J. L. Prieto, R. Hiriart, A. Garg, D. L. Welch, K. H. Cook, S.
  Nikolaev, A. Clocchiatti, D. Minniti, S. C. Keller, B. P. Schmidt","The SuperMACHO Microlensing Survey","To appear in Proceedings of IAU Symposium 225: Impact of
  Gravitational Lensing on Cosmology, 6 pages",,"10.1017/S1743921305002164",,"astro-ph",,"  We present the first results from our next-generation microlensing survey,
the SuperMACHO project. We are using the CTIO 4m Blanco telescope and the
MOSAIC imager to carry out a search for microlensing toward the Large
Magellanic Cloud (LMC). We plan to ascertain the nature of the population
responsible for the excess microlensing rate seen by the MACHO project. Our
observing strategy is optimized to measure the differential microlensing rate
across the face of the LMC. We find this derivative to be relatively
insensitive to the details of the LMC's internal structure but a strong
discriminant between Galactic halo and LMC self lensing. In December 2003 we
completed our third year of survey operations. 2003 also marked the first year
of real-time microlensing alerts and photometric and spectroscopic followup. We
have extracted several dozen microlensing candidates, and we present some
preliminary light curves and related information. Similar to the MACHO project,
we find SNe behind the LMC to be a significant contaminant - this background
has not been completely removed from our current single-color candidate sample.
Our follow-up strategy is optimized to discriminate between SNe and true
microlensing.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 18:17:28 GMT""}]","2009-11-10"
"astro-ph/0409168","Kevin Marvel","Kevin Marvel","Late States of Stellar Evolution","to appear in ""Science with the Square Kilometer Array,"" eds. C.
  Carilli and S. Rawlings, New Astronomy Reviews (Elsevier: Amsterdam)","New Astron.Rev. 48 (2004) 1349-1361","10.1016/j.newar.2004.09.042",,"astro-ph",,"  The Square Kilometer Array will have the sensitivity, spatial resolution, and
frequency resolution to provide new scientific knowledge of evolved stars. Four
basic areas of scientific exploration are enhanced by the construction of the
SKA: 1) detection and imaging of photospheric radio continuum emission and
position correlation with maser distributions, 2) imaging of thermal dust
emission around evolved stars and the detailed structures of their
circumstellar winds (again, including comparison with maser distributions), 3)
study of cm-wavelength molecular line transitions and the circumstellar
chemistry around both O-rich and C-rich evolved stars and 4) the possible
observation of polarized emission due to the influence of the magnetic fields
of AGB stars. Since this short chapter is not meant to be a review article, a
comprehensive reference list has not been generated. I have selected just one
or perhaps two references for citations where appropriate.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:10:05 GMT""}]","2009-11-10"
"astro-ph/0409169","Nissim Kanekar","N. Kanekar (1), F. H. Briggs (2) ((1) Kapteyn Institute, The
  Netherlands (2) RSAA, The Australian National University, Australia)","21 cm Absorption Studies with the Square Kilometer Array","12 pages, 7 figures. Uses espcrc2.sty. To appear in ""Science with the
  Square Kilometer Array,"" eds. C. Carilli and S. Rawlings, New Astronomy
  Reviews (Elsevier: Amsterdam)","New Astron.Rev. 48 (2004) 1259-1270","10.1016/j.newar.2004.09.030",,"astro-ph",,"  HI 21~cm absorption spectroscopy provides an excellent probe of the neutral
gas content of absorbing galaxies, yielding information on their kinematics,
mass, physical size and ISM conditions. The high sensitivity, unrivaled
frequency coverage and RFI suppression techniques of the SKA will enable it to
use HI absorption to study the ISM of high column density intervening systems
along thousands of lines of sight out to high redshifts. Blind SKA 21~cm
surveys will yield large, unbiased absorber samples, tracing the evolution of
normal galaxies and active galactic nuclei from $z \gtrsim 6$ to the present
epoch. It will thus be possible to directly measure the physical size and mass
of typical galaxies as a function of redshift and, hence, to test hierarchical
models of structure formation.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:55:41 GMT""}]","2009-11-10"
