"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"astro-ph/0410303","Jiri Krticka","Jiri Krticka, Jiri Kubat","Mass-loss and multicomponent flow from central stars of planetary
  nebulae","4 pages; to appear in 14th European Workshop on White Dwarfs, ASP
  Conference Series, eds. D. Koester, S. Moehler",,,,"astro-ph",,"  We calculate multicomponent radiatively driven stellar wind models suitable
for central stars of planetary nebulae. Some of these stellar winds may be
adequately modelled using one-component models, however for some of them
multicomponent models are necessary. We obtain a range of stellar parameters
for different types of mass-loss.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:29:11 GMT""}]","2007-05-23"
"astro-ph/0410304","Agnieszka Sierpowska","A.Sierpowska, W.Bednarek","Gamma-rays from cascades in close massive binaries containing energetic
  pulsars","17 pages, 14 figures, MNRAS, accepted","Mon.Not.Roy.Astron.Soc. 356 (2005) 711-726","10.1111/j.1365-2966.2004.08490.x",,"astro-ph",,"  Some massive binaries should contain energetic pulsars which inject
relativistic leptons from their inner magnetospheres and/or pulsar wind
regions. If the binary system is compact enough, then these leptons can
initiate inverse Compton (IC) $e^\pm$ pair cascades in the anisotropic
radiation field of a massive star. $\gamma$-rays can be produced in the IC
cascade during its development in a pulsar wind region and above a shock in a
massive star wind region where the propagation of leptons is determined by the
structure of a magnetic field around the massive star. For a binary system with
specific parametres, we calculate phase dependent spectra and fluxes of
$\gamma$-rays escaping as a function of the inclination angle of the system and
for different assumptions on injection conditions of the primary leptons (their
initial spectra and location of the shock inside the binary). We conclude that
the features of $\gamma$-ray emission from such massive binaries containing
energetic pulsars should allow to obtain important information on the
acceleration of particles by the pulsars, and on interactions of a compact
object with the massive star wind. Predicted $\gamma$-ray light curves and
spectra in the GeV and TeV energy ranges from such binary systems within our
Galaxy and Magellanic Clouds should be observed by future AGILE and GLAST
satellites and low threshold Cherenkov telescopes such as MAGIC, HESS, VERITAS
or CANGAROO III.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:09:08 GMT""}]","2007-05-23"
"astro-ph/0410305","Rachel Dudik Ms.","R. P. Dudik, S. Satyapal, M. Gliozzi, & R. M. Sambruna","A Chandra Snapshot Survey of IR-bright LINERs: A Possible Link Between
  Star Formation, AGN Fueling, and Mass Accretion","Accepted for publication by ApJ 14 pages, 13 figures","Astrophys.J. 620 (2005) 113-125","10.1086/426856",,"astro-ph",,"  We present results from a high resolution X-ray imaging study of nearby
LINERs observed by Chandra. This study complements and extends previous X-ray
studies of LINERs, focusing on the under-explored population of nearby
dust-enshrouded infrared-bright LINERs. The sample consists of 15 IR-bright
LINERs (L_FIR/L_B > 3), with distances that range from 11 to 26 Mpc. Combining
our sample with previous Chandra studies we find that ~ 51% (28/55) of the
LINERs display compact hard X-ray cores. The nuclear 2-10 keV luminosities of
the galaxies in this expanded sample range from ~ 2 X 10^38 ergs s^-1 to ~ 2 X
10^44 ergs s^-1. We find an intriguing trend in the Eddington ratio vs. L_FIR
and L_FIR/L_B for the AGN-LINERs in the expanded sample that extends over seven
orders of magnitude in L/L_Edd. This correlation may imply a link between black
hole growth, as measured by the Eddington ratio, and the star formation rate
(SFR), as measured by the far-IR luminosity and IR-brightness ratio. If the
far-IR luminosity is an indicator of the molecular gas content in our sample of
LINERs, our results may further indicate that the mass accretion rate scales
with the host galaxy's fuel supply. We discuss the potential implications of
our results in the framework of black hole growth and AGN fueling in low
luminosity AGN. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 18:08:22 GMT""},{""version"":""v2"",""created"":""Wed, 13 Oct 2004 16:42:24 GMT""}]","2009-11-10"
"astro-ph/0410306","Chris J. Willott","Chris J. Willott, David Crampton, John B. Hutchings, Marcin Sawicki,
  Luc Simard, Matt J. Jarvis, Ross J. McLure, Will J. Percival","A search for the first massive galaxy clusters","6 pages, 2 figures, contributed paper to Proceedings of the
  Conference ""Growing Black Holes"" held in Garching, Germany, June 21-25, 2004,
  edited by A. Merloni, S. Nayakshin and R. Sunyaev, Springer-Verlag series of
  ""ESO Astrophysics Symposia""",,"10.1007/11403913_12",,"astro-ph",,"  We have obtained deep, multi-band imaging observations around three of the
most distant known quasars at redshifts z>6. Standard accretion theory predicts
that the supermassive black holes present in these quasars were formed at a
very early epoch. If a correlation between black hole mass and dark matter halo
mass is present at these early times, then these rare supermassive black holes
will be located inside the most massive dark matter halos. These are therefore
ideal locations to search for the first clusters of galaxies. We use the
Lyman-break technique to identify star-forming galaxies at high redshifts. Our
observations show no overdensity of star-forming galaxies in the fields of
these quasars. The lack of (dust-free) luminous starburst companions indicates
that the quasars may be the only massive galaxies in their vicinity undergoing
a period of intense activity.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 18:13:13 GMT""}]","2009-11-10"
"astro-ph/0410307","Manojendu Choudhury","Manojendu Choudhury & A. R. Rao","Detection of anti-correlated hard X-ray time lag in Cygnus X-3","Accepted in The Astrophysical Journal (Letters): in press","Astrophys.J. 616 (2004) L143-L146","10.1086/426543",,"astro-ph",,"  The wide-band X-ray spectra of the high mass X-ray binary Cygnus X-3 exhibits
a pivoting behavior in the `low' (as well as `hard') state, correlated to the
radio emission. The time scale of the soft and hard X-rays' anti-correlation,
which gave rise to the pivoting feature, was found to be less than a day from
the monitoring observations by RXTE--ASM and CGRO--BATSE. In this Letter we
report the detection of a lag of $\lesssim$ 1000s in the anti-correlation of
the hard X-ray emission (20--50 keV) to that of the soft X-ray emission (2--7
keV), which may be attributed to the viscous time scale of flow of matter in
the accretion disk. This suggests the geometrical picture of a truncated
accretion disc with a Compton cloud inside the disc, the relative sizes of
which determine the spectral shape. Any change in the disc structure will take
place in a viscous time scale, with corresponding anti-correlated change in the
Compton cloud. We also report the pivoting in the spectra in one span of a
pointed observation when an episode of the rearranging of the accretion system
is serendipitously observed. This is the first such observation of hard X-ray
delay seen in the persistent Galactic microquasars, within the precincts of the
hard state.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:22:30 GMT""}]","2007-05-23"
"astro-ph/0410308","Laurent Chemin","L. Chemin, C. Balkowski, V. Cayatte, C. Adami, P. Amram, A. Boselli,
  J. Boulesteix, C. Carignan, O. Garrido, O. Hernandez, M. Marcelin, B. Vollmer","A Virgo high-resolution Halpha kinematical survey","2 pages, 1 figure, Proceedings SF2A 2004, eds.: F. Combes, D. Barret,
  T. Contini, F. Meynadier and L. Pagani",,,,"astro-ph",,"  We have completed a survey of 30 Virgo cluster galaxies in the Halpha
emission-line using Fabry-Perot interferometry. The goal of the survey is to
obtain a high angular resolution sample of velocity fields of spirals and to
study the environmental effects on their kinematics and dynamics.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:48:21 GMT""}]","2007-05-23"
"astro-ph/0410309","Perivolaropoulos Leandros","S. Nesseris and L. Perivolaropoulos","The Fate of Bound Systems in Phantom and Quintessence Cosmologies","Minor modifications: A table and new references added. The
  mathematica file for the numerical analysis of the paper is available at
  http://leandros.physics.uoi.gr/bigrip.htm","Phys.Rev. D70 (2004) 123529","10.1103/PhysRevD.70.123529",,"astro-ph gr-qc hep-ph hep-th",,"  We study analytically and numerically the evolution of bound systems in
universes with accelerating expansion where the acceleration either increases
with time towards a Big Rip singularity (phantom cosmologies) or decreases with
time (quintessence). We confirm the finding of Caldwell et. al.
[arXiv:astro-ph/0302506] (hereafter CKW) that bound structures get dissociated
in phantom cosmologies but we demonstrate that this happens earlier than
anticipated by CKW. In particular we find that the `rip time' when a bound
system gets unbounded is not the time when the repulsive phantom energy
gravitational potential due to the average $(\rho + 3p)$ balances the
attractive gravitational potential of the mass M of the system. Instead, the
`rip time' is the time when the minimum of the time dependent effective
potential (including the centrifugal term) disappears. For the Milky Way galaxy
this happens approximately 180Myrs before the Big Rip singularity instead of
approximately 60Myrs indicated by CKW for a phantom cosmology with w=-1.5. A
numerical reconstruction of the dissociating bound orbits is presented.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:40:53 GMT""},{""version"":""v2"",""created"":""Thu, 25 Nov 2004 08:07:33 GMT""}]","2009-11-10"
"astro-ph/0410310","Bruce T. Draine","B. T. Draine (IAS, Princeton)","Can Dust Explain Variations in the D/H Ratio?","To appear in Astrophysics in the Far Ultraviolet",,,,"astro-ph",,"  The D/H ratio in interstellar gas varies on scales of a few hundred pc in the
local Milky Way, with D/H values ranging from ~7 ppm to ~22 ppm. The reduction
in D/H relative to the primordial value of D/H (~ 26 ppm) is usually attributed
to ""astration"" -- conversion of D into other elements by nuclear fusion in
stars. However, it is shown here that astration has difficulty accounting for
the observations because the expected associated variations in O/H are not
seen.
  The lower D/H values are instead likely due to ""depletion"" of the D onto dust
grains. Polycyclic aromatic hydrocarbons (PAHs) are a possible repository for
the missing D, and it appears possible for gas-grain reactions to achieve
extreme deuteration of carbonaceous grain material. Grain destruction will
release D from the grains; the gas phase abundance of D should therefore be
positively correlated with the gas phase abundances of other elements that
exhibit strong depletions, such as Mg, Si, Ti, and Fe, which also will be
returned to the gas by grain destruction.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:14:38 GMT""}]","2007-05-23"
"astro-ph/0410311","Antara Basu-Zych","Antara Basu-Zych, Caleb Scharf","X-Ray Detection of an Obscured Active Galactic Nucleus in a z=3.09
  Radio-quiet Ly-alpha Nebula","12 pages, 3 figures, accepted to appear in ApJL, Vol. 615, 2004
  November 10","Astrophys.J. 615 (2004) L85-L88","10.1086/426390",,"astro-ph",,"  We present evidence for a highly obscured X-ray source in one of two giant
Ly-alpha emission nebulae in the z=3.09 proto-cluster region SSA22. Neither
Ly-alpha nebula is associated with significant radio emission. While one has a
significant submillimeter detection and is undetected in the X-ray, the other
is a factor of 2-10 times less submillimeter bright and appears to contain a
hard-band X-ray source. We discuss our analysis and techniques for assessing
the X-ray properties of this source and suggest that we have detected an
embedded AGN source in one of these nebulae which may be at least partially
responsible for exciting the Ly-alpha emission through a mechanism that is
essentially decoupled from the radio, submillimeter, or optical luminosities.
We also present an upper limit on the mean X-ray emission from 10 other
extended Ly-alpha objects in the SSA22 region.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:19:58 GMT""}]","2009-11-10"
"astro-ph/0410312","Dave Strickland","David K. Strickland (JHU)","The Origin and Properties of X-ray-emitting Gas in the Halos of both
  Starburst and Normal Spiral Galaxies","8 pages, 2 figures; to appear in the Proceedings of the Extra-planar
  Gas Conference, June 7-11, 2004, Dwingeloo (ASP Conf. Series, ed. R. Braun)",,,,"astro-ph",,"  I discuss the empirical properties of diffuse X-ray emitting gas in the halos
of both nearby starburst galaxies and normal spiral galaxies, based on high
resolution X-ray spectral imaging with the Chandra X-ray Observatory. Diffuse
thermal X-ray emission can provide us with unique observational probes of
outflow and accretion processes occurring in star-forming galaxies, and their
interaction with the inter-galactic medium. I consider both the spatial
distribution of the diffuse X-ray emission in and around edge-on starburst
galaxies with superwinds (e.g. surface brightness profiles, distribution with
respect to H-alpha and radio emission), and its spectral properties (e.g.
thermal or non-thermal nature, abundance ratios, temperatures and soft and hard
X-ray luminosities). These results are discussed in the context of current
theoretical models of supernova-driven superwinds, and compared to the more
limited data on extra-planar hot gas around edge-on normal galaxies.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:31:48 GMT""}]","2007-05-23"
