"astro-ph/0411283","Simon DeDeo","Simon DeDeo","Particle Dark Energy","8 pages, 5 figures; minor update with added refs; version appearing
  in Phys. Rev. D","Phys.Rev. D73 (2006) 043520","10.1103/PhysRevD.73.043520",,"astro-ph hep-ph hep-th",,"  We explore the physics of a gas of particles interacting with a condensate
that spontaneously breaks Lorentz invariance. The equation of state of this gas
varies from 1/3 to less than -1 and can lead to the observed cosmic
acceleration. The particles are always stable. In our particular class of
models these particles are fermions with a chiral coupling to the condensate.
They may behave as relativistic matter at early times, produce a brief period
where they dominate the expansion with w<0 today, and behave as matter at late
time. There are no small parameters in our models, which generically lead to
dark energy clustering and, depending on the choice of parameters, smoothing of
small scale power.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 18:04:10 GMT""},{""version"":""v2"",""created"":""Thu, 23 Feb 2006 21:31:48 GMT""}]","2009-11-10"
"astro-ph/0411297","A. J. Blustin","A. J. Blustin (1), M. J. Page (1), S. V. Fuerst (1), G.
  Branduardi-Raymont (1), C. E. Ashton (1) ((1) MSSL-UCL)","The nature and origin of Seyfert warm absorbers","v2: 15 pages, 9 figures, accepted for publication in A&A, minor typos
  corrected",,"10.1051/0004-6361:20041775",,"astro-ph",,"  We collate the results of recent high resolution X-ray spectroscopic
observations of 23 AGN, and use the resulting information to try to provide
answers to some of the main open questions about warm absorbers: where do they
originate, what effect do they have on their host galaxies, and what is their
importance within the energetics and dynamics of the AGN system as a whole? We
find that the warm absorbers of nearby Seyferts and certain QSOs are most
likely to originate in outflows from the dusty torus, and that the kinetic
luminosity of these outflows accounts for well under 1% of the bolometric
luminosities of the AGN. Our analysis supports, however, the view that the
relativistic outflows recently observed in two PG quasars have their origin in
accretion disc winds, although the energetic importance of these outflows is
similar to that of the Seyfert warm absorbers. We find that the observed soft
X-ray absorbing ionisation phases fill less than 10% of the available volume.
Finally, we show that the amount of matter processed through an AGN outflow
system, over the lifetime of the AGN, is probably large enough to have a
significant influence on the evolution of the host galaxy and of the AGN
itself.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 16:01:39 GMT""},{""version"":""v2"",""created"":""Wed, 22 Dec 2004 17:41:13 GMT""}]","2009-11-10"
"astro-ph/0411298","Bego\~na Garcia-Lorenzo M.","B. Garcia-Lorenzo, S. F Sanchez, E. Mediavilla, J. I.
  Gonzalez-Serrano, and L. Christensen","Integral Field Spectroscopy of the Central Regions of 3C 120: Evidence
  of a Past Merging Event","55 pages, 18 figures and 5 tables Accepted by APJ","Astrophys.J. 621 (2005) 146-166","10.1086/427429",,"astro-ph",,"  IFS combined with HST WFPC imaging were used to characterize the central
regions of the Seyfert 1 radio galaxy 3C 120. We carried out the analysis of
the data, deriving intensity maps of different emission lines and the continua
at different wavelengths from the observed spectra. Applying a 2D modeling to
the HST images we decoupled the nucleus and the host galaxy, and analyzed the
host morphology. The host is a highly distorted bulge dominated galaxy, rich in
substructures. We developed a new technique to model the IFS data extending the
2D modeling. Using this technique we separated the Seyfert nucleus and the host
galaxy spectra, and derived a residual data cube with spectral and spatial
information of the different structures in 3C 120. Three continuum-dominated
structures (named A, B, and C) and other three extended emission line regions
(EELRs, named E1, E2 and E3) are found in 3C 120 which does not follow the
general behavior of a bulge dominated galaxy. We also found shells in the
central kpc that may be remnants of a past merging event in this galaxy. The
origin of E1 is most probably due to the interaction of the radio-jet of 3C 120
with the intergalactic medium. Structures A, B, and the shell at the southeast
of the nucleus seem to correspond to a larger morphological clumpy structure
that may be a tidal tail, consequence of the past merging event. We found a
bright EELR (E2) in the innermost part of this tidal tail, nearby the nucleus,
which shows a high ionization level. The kinematics of the E2 region and its
connection to the tidal tail suggest that the tail has channeled gas from the
outer regions to the center.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 16:40:11 GMT""}]","2009-11-10"
"astro-ph/0411299","Daniel Sheehan","D.P. Sheehan, V.G. Kriss","Energy Emission by Quantum Systems in an Expanding FRW Metric","12 pages, 1 figure",,,,"astro-ph",,"  Bound quantum mechanical systems not expanding with the comoving frame of an
expanding, flat FRW metric are found to release energy at a rate linearly
proportional to the local Hubble constant ($H_{o}$) and the systems' binding
energy ($E_{b}$); {\em i.e.}, $\dot{E} = H_{o} E_{b}$. Three exemplary quantum
systems are examined. For systems with early cosmological condensation times |
notably hadrons | time-integrated energy release could have been significant
and could account for an appreciable fraction of the dark matter inventory.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 17:23:01 GMT""}]","2007-05-23"
"astro-ph/0411300","Norbert Christlieb","N. Christlieb, T.C. Beers, C. Thom, R. Wilhelm, S. Rossi, C. Flynn, L.
  Wisotzki, D. Reimers","The stellar content of the Hamburg/ESO survey. III. Field
  horizontal-branch stars in the Galaxy","A&A, in press",,"10.1051/0004-6361:20041830",,"astro-ph",,"  We present a sample of 8321 candidate Field Horizontal-Branch (FHB) stars
selected by automatic spectral classification in the digital data base of the
Hamburg/ESO objective-prism survey. The stars are distributed over 8225 square
degrees of the southern sky, at |b| > 30 deg. The average distance of the
sample, assuming that they are all FHB stars, is 9.8 kpc, and distances of up
to ~30 kpc are reached. Moderate-resolution spectroscopic follow-up
observations and UBV photometry of 125 test sample stars demonstrate that the
contamination of the full candidate sample with main-sequence A-type stars is <
16%, while it would be up to 50% in a flux-limited sample at high galactic
latitudes. Hence more than ~6800 of our FHB candidates are expected to be
genuine FHB stars. The candidates are being used as distance probes for
high-velocity clouds and for studies of the structure and kinematics of the
Galactic halo.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 18:23:35 GMT""}]","2009-11-10"
"astro-ph/0411301","Duilia de Mello F.","Duilia F. de Mello & the K20 Team","K-luminous galaxies at z~2. Metallicity and B stars","4 pages, 6 figures. To be published in ""Starbursts: From 30 Doradus
  to Lyman Break Galaxies"", held in Cambridge, ed. R. de Grijs & R. M. Gonzalez
  Delgado (Dordrecht: Kluwer)",,,,"astro-ph",,"  We present the results from the analysis of the composite spectrum of five
near-IR luminous (K < 20) galaxies at z~2. Several of the strongest absorption
lines are present in the merging galaxy NGC 6090 UV spectrum and are not
present in the spectra of Lyman Break Galaxies at z~3. They were identified as
SiIII 1296, CIII 1428, SiII 1485, and Fe 1380 which are photospheric lines
typical of B stars. A metallicity higher than solar is suggested by comparing
the pure photospheric lines known as the 1425AA index (SiIII, CIII, FeV) with
Starburst99 models. The evidence of high metallicity, together with the high
masses, high star-formation rates, and possibly strong clustering, suggest that
these galaxies are candidates to become massive spheroids.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 19:30:38 GMT""}]","2007-05-23"
"astro-ph/0411302","Christopher Martin","D. Christopher Martin, James Fanson, David Schiminovich, Patrick
  Morrissey, Peter G. Friedman, Tom A. Barlow, Tim Conrow, Robert Grange,
  Patrick N. Jelinsky, Bruno Milliard, Oswald H. W. Siegmund, Luciana Bianchi,
  Yong-Ik Byun, Jose Donas, Karl Forster, Timothy M. Heckman, Young-Wook Lee,
  Barry F. Madore, Roger F. Malina, Susan G. Neff, R. Michael Rich, Todd Small,
  Alex S. Szalay, and Ted K. Wyder","The Galaxy Evolution Explorer: A Space Ultraviolet Survey Mission","This paper will be published as part of the Galaxy Evolution Explorer
  (GALEX) Astrophysical Journal Letters Special Issue. Links to the full set of
  papers will be available at http:/www.galex.caltech.edu/PUBLICATIONS/ after
  November 22, 2004","Astrophys.J. 619 (2005) L1-L6","10.1086/426387",,"astro-ph",,"  We give an overview of the Galaxy Evolution Explorer (GALEX), a NASA Explorer
Mission launched on April 28, 2003. GALEX is performing the first space UV
sky-survey, including imaging and grism surveys in two bands (1350-1750
Angstroms and 1750-2750 Angstroms). The surveys include an all-sky imaging
survey (m[AB] ~ 20.5), a medium imaging survey of 1000 square degrees (m[AB] ~
23), a deep imaging survey of 100 square degrees (m[AB] ~ 25), and a nearby
galaxy survey. Spectroscopic grism surveys (R=100-200) are underway with
various depths and sky coverage. Many targets overlap existing or planned
surveys. We will use the measured UV properties of local galaxies, along with
corollary observations, to calibrate the UV-global star formation rate
relationship in local galaxies. We will apply this calibration to distant
galaxies discovered in the deep imaging and spectroscopic surveys to map the
history of star formation in the universe over the redshift range 0 < z < 1.5,
and probe the physical drivers of star formation in galaxies. The GALEX mission
includes a Guest Investigator program supporting the wide variety of programs
made possible by the first UV sky survey.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 21:48:55 GMT""}]","2009-11-10"
"astro-ph/0411303","Janos Zsargo","J. Zsargo, D. J. Hillier, and L. N. Georgiev","A Short Characteristic Solution for the 2.5D Transfer Equation in the
  Envelopes of O and B Stars","4 pages, 3 figures, Submitted to ASP Conf. Ser. on ``The Nature and
  Evolution of Disks Around Hot Stars"", eds.: R. Ignace & K. Gayley",,,,"astro-ph",,"  We discuss work toward developing a 2.5D non-LTE radiative transfer code. Our
code uses the short characteristic method with modifications to handle
realistic 3D wind velocities. We also designed this code for parallel computing
facilities by representing the characteristics with an impact parameter vector
p. This makes the interpolation in the radiation angles unnecessary and allows
for an independent calculation for characteristics represented by different p
vectors. The effects of the velocity field are allowed for by increasing, as
needed, the number of grid points along a short characteristic. This allows us
to accurately map the variation of the opacities and emissivities as a function
of frequency and spatial coordinates. In the future we plan to use this
transfer code with a 2D non-LTE stellar atmosphere program to self-consistently
solve for level populations, the radiation field and temperature structure for
stars with winds and without spherical symmetry.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 21:06:58 GMT""}]","2007-05-23"
"astro-ph/0411304","Armando Gil de Paz","A. Gil de Paz, B.F. Madore, Y.-J. Sohn, Y.-W. Lee, M. Seibert, R.M.
  Rich, L. Bianchi, T.A. Barlow, Y.-I. Byun, J. Donas, K. Forster, P.G.
  Friedman, T.M. Heckman, P. Jelinsky, R.F. Malina, D.C. Martin, B. Milliard,
  P. Morrissey, S.G. Neff, D. Schiminovich, O.H.W. Siegmund, T. Small, A.S.
  Szalay, B.Y. Welsh, T.K. Wyder","GALEX observations of the UV surface brightness and color profiles of
  the Local Group elliptical galaxy M32 (NGC221)","5 pages, 3 figures. This paper will be published as part of the
  Galaxy Evolution Explorer (GALEX) Astrophysical Journal Letters Special
  Issue. Links to the full set of papers will be available at
  http://www.galex.caltech.edu/PUBLICATIONS/ after November 22, 2004",,"10.1086/422470",,"astro-ph",,"  M32, the compact elliptical-galaxy companion to the Andromeda spiral galaxy
has been imaged by the Galaxy Evolution Explorer (GALEX) in two ultraviolet
bands, centered at ~1500 (FUV) and 2300 Angstroms (NUV). The imaging data have
been carefully decomposed so as to properly account for the complicated
background contamination from the disk of M31. We have derived the surface
brightness and color profiles finding a slightly positive color gradient of
Delta(FUV-B)/Delta log(r)=+0.15+/-0.03 within one effective radius. Earlier
data from the Ultraviolet Imaging Telescope suggested that M32 had an extremely
large (negative) FUV-optical color gradient (Delta(FUV-B)/Delta log(r)<-2),
inverted with respect to the majority of gradients seen in giant elliptical
galaxies. Our new results show that, despite of its very low UV-upturn, M32 has
similar UV properties to those observed in luminous elliptical galaxies.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 21:14:33 GMT""}]","2009-11-10"
"astro-ph/0411305","Tamas Budavari","T. Budavari, A. S. Szalay, S. Charlot, M. Seibert, T. K. Wyder, S.
  Arnouts, T. A. Barlow, L. Bianchi, Y.-I. Byun, J. Donas, K. Forster, P. G.
  Friedman, T. M. Heckman, P. N. Jelinsky, Y.-W. Lee, B. F. Madore, R. F.
  Malina, D. C. Martin, B. Milliard, P. Morrissey, S. G. Neff, R. M. Rich, D.
  Schiminovich, O. H. W. Siegmund, T. Small, M. A. Treyer, B. Welsh","The Ultraviolet Luminosity Function of GALEX Galaxies at Photometric
  Redshifts Between 0.07 and 0.25","This paper will be published as part of the Galaxy Evolution Explorer
  (GALEX) Astrophysical Journal Letters Special Issue. Links to the full set of
  papers will be available at http://www.galex.caltech.edu/PUBLICATIONS/ after
  November 22, 2004","Astrophys.J. 619 (2005) L31-L34","10.1086/423319",,"astro-ph",,"  We present measurements of the UV galaxy luminosity function and the
evolution of luminosity density from GALEX observations matched to the Sloan
Digital Sky Survey (SDSS). We analyze galaxies in the Medium Imaging Survey
overlapping the SDSS DR1 with a total coverage of 44 deg^2. Using the combined
GALEX+SDSS photometry, we compute photometric redshifts and study the LF in
three redshift shells between z=0.07 and 0.25. The Schechter function fits
indicate that the faint-end slope alpha is consistent with -1.1 at all
redshifts but the characteristic UV luminosity M* brightens by 0.2 mag from
z=0.07 to 0.25. In the lowest redshift bin, early and late type galaxies are
studied separately and we confirm that red galaxies tend to be brighter and
have a shallower slope alpha than blue ones. The derived luminosity densities
are consistent with other GALEX results based on a local spectroscopic sample
from 2dF and the evolution follows the trend reported by deeper studies.
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 21:41:07 GMT""}]","2009-11-10"
"astro-ph/0411306","David Thilker","D. A. Thilker, L. Bianchi, S. Boissier, A. Gil de Paz, B. F. Madore,
  C. Martin, G. R. Meurer, S. G. Neff, M. Rich, D. Schiminovich, M. Seibert, T.
  K. Wyder, T. A. Barlow, Y. Byun, J. Donas, K. Forster, P. G. Friedman, T. M.
  Heckman, P. N. Jelinsky, Y. Lee, R. F. Malina, B. Milliard, P. Morrissey, O.
  H. W. Siegmund, T. Small, A. S. Szalay, B. Y. Welsh","Recent Star Formation in the Extreme Outer Disk of M83","This paper will be published as part of the Galaxy Evolution Explorer
  (GALEX) Astrophysical Journal Letters Special Issue. Links to the full set of
  papers will be available at http://www.galex.caltech.edu/PUBLICATIONS/ after
  November 22, 2004","Astrophys.J. 619 (2005) L79-L82","10.1086/425251",,"astro-ph",,"  Ultraviolet imaging with the Galaxy Evolution Explorer (GALEX) has revealed
an extensive sample of UV-bright stellar complexes in the extreme outer disk of
M83, extending to about four times the radius where the majority of HII regions
are detected (R_HII = 5.1' or 6.6 kpc). These sources are typically associated
with large-scale filamentary HI structures in the warped outer disk of M83, and
are distributed beyond the galactocentric radii at which molecular ISM has yet
been detected. We present measured properties of these stellar complexes,
including FUV and NUV magnitudes and local gas surface density. Only a subset
of the outer disk UV sources have corresponding HII regions detected in H-alpha
imaging, consistent with a sample of mixed age in which some sources are a few
Myr old and others are much more evolved (~ 10^8 yr).
","[{""version"":""v1"",""created"":""Thu, 11 Nov 2004 22:05:20 GMT""}]","2009-11-10"
