"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"astro-ph/0412526","Jon M. Miller","J. M. Miller (Harvard-Smithsonian CfA)","Present Evidence for Intermediate Mass Black Holes in ULXs and Future
  Prospects","14 pages, 3 color figures, to appear in From X-ray Binaries to
  Quasars: Black Hole Accretion on All Mass Scales, ed. T. J. Maccarone, R. P.
  Fender, L. C. Ho (Dordrecht: Kluwer)",,"10.1007/s10509-005-1181-z",,"astro-ph",,"  In a number of the most luminous ULXs (L ~ 1 E+40 erg/s) in nearby galaxies,
observations with XMM-Newton and Chandra are revealing evidence which suggests
that these ULXs may harbor intermediate-mass black holes (IMBHs). The detection
of accretion disk spectral components with temperatures 5-10 times lower than
the temperatures observed in stellar-mass black hole binaries near to their
Eddington limit may be particularly compelling evidence for IMBH primaries,
since T ~ M^(-1/4) for disks around black holes. In some sources, X-ray timing
diagnostics also hint at IMBHs. Evidence for IMBHs in a subset of the most
luminous ULXs, a discussion of the robustness of this evidence and alternatives
to the IMBH interpretation, and prospects for better determining the nature of
these sources in the future, are presented in this work.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:54:29 GMT""}]","2009-11-10"
"astro-ph/0412527","Colleen A. Wilson","Colleen A. Wilson, Martin C. Weisskopf, Mark H. Finger (NSSTC), M.J.
  Coe (Southampton, UK), Jochen Greiner (MPE-Garching), Pablo Reig, Giannis
  Papamastorakis (Univ of Crete/IESL)","Discovery of a Be/X-ray Binary Consistent with the Position of GRO
  J2058+42","18 pages, 6 figures, Accepted for publication in the Astrophysical
  Journal","Astrophys.J. 622 (2005) 1024-1032","10.1086/428381",,"astro-ph",,"  GRO J2058+42 is a 195 s transient X-ray pulsar discovered in 1995 with BATSE.
In 1996, RXTE located GRO J2058+42 to a 90% confidence error circle with a 4'
radius. On 20 February 2004, the region including the error circle was observed
with Chandra ACIS-I. No X-ray sources were detected within the error circle,
however, 2 faint sources were detected in the ACIS-I field-of-view. We obtained
optical observations of the brightest object, CXOU J205847.5+414637, that had
about 64 X-ray counts and was just 0.3' outside the error circle. The optical
spectrum contained a strong H alpha line and corresponds to an infrared object
in the 2MASS catalog, indicating a Be/X-ray binary system. Pulsations were not
detected in the Chandra observations, but similar flux variations and distance
estimates suggest that CXOU J205847.5+414637 and GRO J2058+42 are the same
object. We present results from the Chandra observation, optical observations,
new and previously unreported RXTE observations, and a reanalysis of a ROSAT
observation.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:11:22 GMT""}]","2009-11-10"
"astro-ph/0412528","Alberto Carrami\~nana","Esperanza Carrasco (1), Remy Avila (2), Alberto Carrami\~nana (1) ((1)
  INAOE, Tonantzintla, Mexico (2) Instituto de Astronomia, UNAM, Mexico)","High altitude wind velocity at Sierra Negra and San Pedro M\'artir","Accepted for publication in PASP; 14 pages, 6 tables, 2 figures",,"10.1086/427736",,"astro-ph",,"  It has been proposed that the global circulation of the atmosphere winds at
200 mb can be used as a criteria to establish the suitability of a site for the
development of adaptive optics techniques such as slow wavefront corrugation
correction. By using the NOAA NCEP/NCAR Reanalysis data base we analyze the
monthly average wind velocity at 200 mb for a 16 year period, for two sites in
Mexico: Sierra Negra and San Pedro M\'artir. We compare the results with those
obtained for Mauna Kea, Paranal and La Silla, with Maidanak in Uzbekistan, and
with Gamsberg in Namibia. We show that for all the sites under study there is a
yearly wind speed modulation and we model that modulation. Our results show
that Sierra Negra and San Pedro M\'artir are comparable with the best
observatory sites as Mauna Kea and are amongst the most advantageous sites to
apply adaptive optics techniques.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:29:49 GMT""}]","2009-11-10"
"astro-ph/0412529","Gianfranco Brunetti","Gianfranco Brunetti","Particle acceleration and non-thermal emission from galaxy clusters","8 pages, 4 Figures, invited talk, to appear in proceedings of the 3rd
  Korean Astrophysics Workshop ""Cosmic Rays and Magnetic Fields in Large Scale
  Structure"", Pusan, Korea, August 2004, eds. H. Kang & D. Ryu, Journal of the
  Korean Astronomical Society","J. Kor. Astron. Soc. 37 (2004) 1-5","10.5303/JKAS.2004.37.5.493",,"astro-ph",,"  The existence and extent of non-thermal phenomena in galaxy clusters is now
well established. A key question in our understanding of these phenomena is the
origin of the relativistic electrons which may be constrained by the modelling
of the fine radio properties of radio halos and of their statistics. In this
paper we argue that present data favour a scenario in which the emitting
electrons in the intracluster medium (ICM) are reaccelerated in situ on their
way out. An overview of turbulent-particle acceleration models is given
focussing on recent time-dependent calculations which include a full coupling
between particles and MHD waves.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:34:09 GMT""}]","2015-06-24"
"astro-ph/0412530","Sandro Caldeira Javiel","S. C. Javiel, B. X. Santiago, L. O. Kerber","Constraints on the star formation history of the Large Magellanic Cloud","16 pages, 14 figures, A&A (2005) in press",,"10.1051/0004-6361:20041057",,"astro-ph",,"  We present the analysis of deep colour-magnitude diagrams (CMDs) of 6 stellar
fields in the LMC. The data were obtained using HST/WFPC2 in the I and V
filters, reaching V=26.5. We discuss and apply a method of correcting CMDs for
photometric incompleteness. A method to generate artificial CMDs based on a
model star formation history is also developed. This method incorporates
photometric error effects, unresolved binaries, reddening and allows use of
different forms of the initial mass function and of the SFH itself. We use the
Partial Models Method, as presented by Gallart and others, for CMD modelling,
and include control experiments to prove its validity in a search for
constraints on the Large Magellanic Cloud star formation history in different
regions. Reliable star formation histories for each field are recovered by this
method. In all fields, a gap in star formation with t=700 Myrs is observed.
Field-to-field variations have also been observed. The two fields near the LMC
bar present some significant star forming events, having formed both young (t <
1Gyr) and old (t > 10 Gyrs) stars, with a clear gap from 3-6 Gyrs. Two other
fields display quite similar SFHs, with increased star formation having taken
place at t=2-3 Gyrs and 6 < t < 10 Gyrs. The remaining two fields present star
formation histories closer to uniform, with no clear event of enhanced star
formation.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:44:00 GMT""}]","2009-11-10"
"astro-ph/0412531","Robert I. Hynes","R.I. Hynes (Louisiana State University, The University of Texas at
  Austin)","The Optical and Ultraviolet Spectral Energy Distributions of Short
  Period Black Hole X-ray Transients in Outburst","Accepted for publication in the Astrophysical Journal. 20 pages using
  emulateapj.cls","Astrophys.J. 623 (2005) 1026-1043","10.1086/428445",,"astro-ph",,"  We compile optical and UV spectra of a sample of 'typical' short period black
hole X-ray transients in outburst. We also survey determinations of
interstellar extinction and distance in order to deredden spectra and compare
absolute fluxes. Hence we perform a comparative study of the broad-band
spectral energy distributions (SED). We find that given such a homogeneous
sample of typical sources, the optical SEDs form a relatively uniform set, all
exhibiting quasi-power-law spectra with Fnu proportional to nu^alpha, where
0.5<alpha<1.5 (steeper than the canonical nu^1/3 disk spectrum). All become
flatter in the UV, although there is more diversity here. The SEDs studied can
be broadly divided into two optical-UV spectral states. The UV-hard spectra,
e.g. A0620-00 and X-ray Nova Muscae 1991, continue to rise in the far-UV. The
UV-soft spectra, e.g. GRO J0422+32, drop off. XTE J1859+226 evolved from
UV-soft to UV-hard as it decayed indicating that this effect is a real
difference, not a dereddening artifact. All of the spectra can be fitted by a
generalized black body disk model with two forms of heating, resulting in the
two states. The UV-soft state is consistent with a disk illuminated by a
central point source, with irradiative heating dominating over viscous. The
UV-hard state is well described by a viscously heated disk, although this
requires very high mass flow rates in the case of Nova Muscae. Alternatively, a
UV-hard spectrum can be produced if the disk is illuminated by a vertically
extended X-ray source such as a central scattering corona or jet. [Abridged]
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:47:12 GMT""}]","2009-11-10"
"astro-ph/0412532","Diana Worrall","D.M. Worrall (Dept. of Physics, University of Bristol)","A high-energy view of radio-loud AGN","Review to be published in Proceedings of the workshop ""Multiband
  Approach to AGN"", held on Sep.30-Oct.2 in Bonn. Publication: Memorie della
  Societa Astronomica Italiana, v. 26, No.1 (2005). 8 pages",,,,"astro-ph",,"  Seyfert galaxies and quasars were first discovered through optical and radio
techniques, but in recent years high-energy emission, that can penetrate
central gas and dust, has become essentially the defining characteristic of an
AGN. AGNs with extended radio jets are of particular interest, since the jets
signal source orientation. However, the jets extend into the cores, where they
are faster and more compact. Special-relativistic effects then cause jet
brightness and variability time-scales across the electromagnetic spectrum to
be strong functions of jet orientation. Jet X-ray emission is confused, to
varying degrees, with that from the central engine, but can be measured, at
least in a statistical sense, through considerations of the multiwaveband
spectrum and the level of intrinsic absorption. The rich high-energy structures
found in jets which are resolved with Chandra inform our interpretation of the
inner structures. In particular, it is found that shocks are prevalent and
don't necessarily disrupt jets, and that one-zone models of emission near
shocks are an over-simplification.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:22:38 GMT""}]","2007-05-23"
"astro-ph/0412533","Thomas Wilson","T. L. Wilson (ESO & MPIfR), W. Batrla (Fachhochschule Hof, Abt.
  Muenchberg & MPIfR)","An Improved Estimate of the Mass of Dust in Cassiopeia A","7 pages, 3 figures, accepted by A&A for publication",,"10.1051/0004-6361:20041220",,"astro-ph",,"  Recent observations of sub-millimeter continuum emission toward supernova
remnants (SNR) have raised the question of whether such emission is caused by
dust within the SNR and thus produced by the supernova itself or along the
line-of-sight. The importance of the present work is to establish evidence for
the production of large amounts of dust in supernovae. The best tests can be
made for young supernovae in our galaxy. Cassiopeia A is the best candidate for
a measurement.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:29:57 GMT""}]","2009-11-10"
"astro-ph/0412534","Niccolo' Bucciantini","N. Bucciantini, E.Amato, L.Del Zanna","Relativistic MHD simulations of pulsar bow-shock nebulae","11 pages, 5 figures, Accepted for publication in A&A",,"10.1051/0004-6361:20042205",,"astro-ph",,"  Pulsar bow-shock nebulae are a class of pulsar wind nebulae (PWNe) that form
when the pulsar wind is confined by the ram pressure of the ambient medium, and
are usually associated with old pulsars, that have already emerged from the
progenitor Supernova Remnant (SNR). Until a few years ago these nebulae were
mainly observed as \halpha sources; recently, also non-thermal emission has
been detected. This is the signature of accelerated particles gyrating in a
magnetic field. In the same way as \halpha radiation is a tool for studying the
layer of shocked Interstellar Medium (ISM), the non-thermal radiation might be
used to infer the properties of the shocked pulsar wind. However theoretical
and numerical models have been presented so far only in the hydrodynamical (HD)
regime, while in order to properly model the internal flow structure and the
emission properties of these nebulae a magnetohydrodynamical (MHD) treatment is
required. We present here relativistic MHD (RMHD) axisymmetric simulations of
pulsar wind bow-shock nebulae. The structure and fluid dynamics of such objects
is investigated for various values of the pulsar wind magnetization. Simulated
synchrotron maps are computed and comparison of the emission pattern with
observations is discussed.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:28:02 GMT""}]","2009-11-10"
"astro-ph/0412535","Phil Marshall","Phil Marshall, Nutan Rajguru, Anze Slosar","Bayesian evidence as a tool for comparing datasets","4 pages, accepted by Phys. Rev. D","Phys.Rev.D73:067302,2006","10.1103/PhysRevD.73.067302",,"astro-ph",,"  We introduce a new conservative test for quantifying the consistency of two
or more datasets. The test is based on the Bayesian answer to the question,
``How much more probable is it that all my data were generated from the same
model system than if each dataset were generated from an independent set of
model parameters?''. We make explicit the connection between evidence ratios
and the differences in peak chi-squared values, the latter of which are more
widely used and more cheaply calculated. Calculating evidence ratios for three
cosmological datasets (recent CMB data (WMAP, ACBAR, CBI, VSA), SDSS and the
most recent SNe Type 1A data) we find that concordance is favoured and the
tightening of constraints on cosmological parameters is indeed justified.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:35:00 GMT""},{""version"":""v2"",""created"":""Tue, 30 Oct 2007 00:49:57 GMT""}]","2008-11-26"
"astro-ph/0412536","Lauro Moscardini","P. Mazzotta, E. Rasia, S. Borgani, L. Moscardini, K. Dolag, G. Tormen","Spectroscopic-Like Temperature of Clusters of Galaxies and Cosmological
  Implications","6 pages, 3 figures, to appear in the proceedings of the Rencontres du
  Vietnam ""New Views on the Universe""",,,,"astro-ph",,"  The thermal properties of hydrodynamical simulations of galaxy clusters are
usually compared to observations by relying on the emission-weighted
temperature T_ew, instead of on the spectroscopic X-ray temperature T_spec,
which is obtained by actual observational data. Here we show that, if the
intra-cluster medium is thermally complex, T_ew fails at reproducing T_spec. We
propose a new formula, the spectroscopic-like temperature, T_sl, which
approximates T_spec better than a few per cent. By analyzing a set of
hydrodynamical simulations of galaxy clusters, we also find that T_sl is lower
than T_ew by 20-30 per cent. As a consequence, the normalization of the M-T
relation from the simulations is larger than the observed one by about 50 per
cent. If masses in simulated clusters are estimated by following the same
assumptions of hydrostatic equilibrium and beta-model gas density profile, as
often done for observed clusters, then the M-T relation decreases by about 40
per cent, and significantly reduces its scatter. Based on this result, we
conclude that using the observed M-T relation to infer the amplitude of the
power spectrum from the X--ray temperature function could bias low sigma_8 by
10-20 per cent. This may alleviate the tension between the value of sigma_8
inferred from the cluster number density and those from cosmic microwave
background and large scale structure.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:01:02 GMT""}]","2007-05-23"
