"astro-ph/0412646","F. A. Chishtie","S. R. Valluri, F. A. Chishtie, A. Vajda","An analytic study of the gravitational wave pulsar signal with spin down
  effects","9 pages, added acknowledgements",,,,"astro-ph gr-qc",,"  In this work, we present the analytic treatment of the Fourier Transform (FT)
of the Gravitational Wave (GW) signal from a pulsar including spin down
corrections in a parametrized model discussed by Brady et. al. The formalism
lends itself to a development of the FT in terms of well known special
functions and integrals defining the spin down moments.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 19:29:59 GMT""}]","2007-05-23"
"astro-ph/0412647","Daniele Fargion","D.Fargion","May Gravity detect Tsunami ?","8 pages, 3 figures, Vulcano Conference 2005, in Chinese Journal of
  Astronomy and Astrophysics","Chin.J.Astron.Astrophys.6S1:398-402,2006","10.1088/1009-9271/6/S1/55",,"astro-ph gr-qc hep-ph",,"  The present gravitational wave detectors are reaching lowest metric deviation
fields able to detect galactic and extra-galactic gravitational waves, related
to Supernova explosions up to Virgo cluster. The same gravitational wave
detector are nevertheless almost able to reveal, in principle, near field
Newtonian gravitational perturbations due to fast huge mass displacements as
the ones occurring during largest Earth-Quake or Tsunami as the last on 26nd
December 2004 in Asiatic area. Virgo and Ligo detector are unfortunately
recording on high frequencies (above tens Hz) while the signal of the Tsunami
lay at much lower range (below 0.1 Hz). Nevertheless prompt gravitational near
field deformation by the Tsunami might reach the future LISA threshold
sensitivity and frequency windows if such an array is located nearby
(3000-10000) km distances. Unfortunately the present LISA system should be
located at Lagrange point too far (1.5 million km. far away). We note however
that the later continental mass rearrangement and their gravitational field
assessment on Earth must induce, for Richter Magnitude 9-like Tsunami, a
different terrestrial inertia momentum and a different principal rotation axis.
In conclusion we remind that gravitational geodetic deviation on new precise
satellites (GOCE 2006), assisted by GPS network, might nevertheless reach in
the near future the needed threshold and accuracy to reveal Tsunami by their
prompt tidal gravity field deviations . An array of such geoid detector maybe
correlated with LISA-like satellite on Earth orbits may offer the fastest alarm
system.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 19:45:06 GMT""},{""version"":""v2"",""created"":""Thu, 30 Dec 2004 18:46:23 GMT""},{""version"":""v3"",""created"":""Wed, 23 Nov 2005 17:59:58 GMT""}]","2014-10-13"
"astro-ph/0412662","Andrea De Luca","A. De Luca, P.A. Caraveo, S. Mereghetti, M. Negroni, G.F. Bignami","On the polar caps of the 3 Musketeers","42 pages, 17 postscript figures. Accepted for publication in ApJ","Astrophys.J. 623 (2005) 1051","10.1086/428567",,"astro-ph",,"  XMM-Newton observations of PSR B0656+14, PSR B1055-52 and Geminga have
substantially increased the statistics available for these three isolated
neutron stars, so apparently similar to deserve the nickname of ""Three
Musketeers"" (Becker & Truemper, 1997). Here we shall take advantage of the EPIC
statistics to perform phase resolved spectroscopy for all three objects. The
phase-averaged spectrum of the three musketeers is best described by a three
component model. This includes two blackbody components, a cooler one, possibly
originating from the bulk of the star surface, and a hotter one, coming from a
smaller portion of the star surface (a ""hot spot""), plus a power law. The
relative contributions of the three components are seen to vary as a function
of phase, as the stars' rotation bring into view different emitting regions.
The hot spots, which have very different apparent dimensions (in spite of the
similarity of the three neutron stars polar cap radii) are responsible for the
bulk of the phase variation. The amplitude of the observed phase modulation is
also markedly different for the three sources. Another striking aspect of our
phase-resolved phenomenology is the apparent lack of any common phase
alignement between the observed modulation patterns for the two blackbody
components. They are seen to vary in phase in the case of PSR B1055-52, but in
anti-phase in the case of PSR B0656+14. These findings do not support standard
and simplistic models of neutron star magnetic field configuration and surface
temperature distribution.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 18:24:14 GMT""}]","2009-11-10"
"astro-ph/0412663","G. S. Bisnovatyi-Kogan","G.S. Bisnovatyi-Kogan","Evolution of dense stellar clusters","8 pages, 1 figure","Pisma Astron.Zh. 4 (1978) 130-133",,,"astro-ph",,"  A qualitative study is made of the evolutionary tracks of various dense
clusters, with allowance for the evaporation of stars, and for head-on
collisions, until relativistic collapse occures or the cluster breaks up.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 19:19:31 GMT""}]","2007-05-23"
"astro-ph/0412664","Tilak Hewagama","T. Kostiuk, T. A. Livengood, T. Hewagama, G. Sonnabend, K. E. Fast, K.
  Murakawa, A. T. Tokunaga, J. Annen, D. Buhl, F. Schmuelling","Titan's Wind and Unanticipated Temperature Asymmetry","14 pages, including 2 figures, letter submitted to Nature",,,,"astro-ph",,"  Saturn's largest satellite, Titan, has stratospheric wind speeds that may be
up to ~210 m/sec [1], circling Titan in about a day compared to Titan's slow
16-day rotation. Theoretical models to explain such super-rotating winds are
not well constrained [2,3,4,5,6] by observations of Titan or a similar slow
rotator, Venus. Titan's stratospheric temperature and the abundance of the
important constituent ethane (C2H6) should be zonally invariant due to long
photochemical and radiative lifetimes and rapid transport and mixing by high
zonal winds. Here, we report new measurements of zonal wind in Titan's
equatorial region, including the Cassini Huygens probe entry latitude [7].
Prograde zonal winds of 190+/-90 m/sec are found from Doppler-shifted ethane
gas infrared emission near 12 micron wavelength, confirming high wind velocity
even near the equator. Surprisingly, we find a temperature difference of 6+/-3
K between the East and West hemispheres of Titan at ~240 km altitude. Common
direct processes such as diurnal heating by sunlight do not adequately explain
the asymmetry, suggesting other processes, such as unknown atmospheric
dynamics, may be responsible. The origin of the temperature difference is
enigmatic and currently unexplained.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:21:42 GMT""}]","2007-05-23"
"astro-ph/0412665","Sharon Toolan","M. Robberto (ST ScI, ESA), S. V. W. Beckwith (ST ScI), N. Panagia (ST
  ScI, ESA), S. G. Patel (University of California, Santa Cruz), T. M. Herbst
  (Max-Planck-Institut fur Astronomie), S. Ligori (Max-Planck-Institut fur
  Astronomie), A. Custo (INFM and DISI, Universita di Genova), P. Boccacci
  (INFM and DISI, Universita di Genova), and M. Bertero (INFM and DISI,
  Universita di Genova)","The Orion Nebula in the mid-IR","34 pages, 22 figures, 5 tables, AJ in press",,"10.1086/428000","ST ScI Eprint #1636","astro-ph",,"  We present two wide-field (5'x5'), diffraction limited, broad-band 10 and 20
micron images of the Orion Nebula, plus six 7-13 micron narrow-band images of
BN/KL taken at the 3.8m UKIRT telescope. The wide-field images are mosaics of
35""x35"" frames reconstructed using a new restoration method developed for this
project. They show the filamentary structure of the dust emission and reveal a
new remarkable group of arc-like structures ~1' to the South of the Trapezium.
The morphology of the Ney-Allen nebula suggests a complex kinematical status at
the center of the Cluster. We find indications that the B0.5V star theta1
Ori-D, is surrounded by a photoevaporated circumstellar disk. Among the four
historic Trapezium OB stars, this is the only one without a binary companion,
suggesting that stellar multiplicity and the presence of massive circumstellar
disks may be mutually exclusive. In the BN/KL complex we detect optically thin
silicate emission on top of the deep 10 micron absorption feature. We map the
foreground optical depth, color temperature and mid-IR luminosity of the
embedded sources. We resolve a conspicuous point source at the location of the
IRc2-A knot. The spectral profile of the 10 micron feature is compatible with
grain crystallization. We detect several point sources In the OMC-1 South
region and discuss their association with the mass loss observed at optical and
mm wavelengths. Finally, we list the position and photometry of 177 point
sources. With two possible exceptions, all point sources detected at shorter
wavelengths display 10 micron emission well above the photospheric level. The
model of Robberto et al. (2002, ApJ, 578, 897) provides the simplest
explanation for the mid-IR excess.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:28:45 GMT""}]","2009-11-10"
"astro-ph/0412666","Axel Brandenburg","N.E.L. Haugen (NTNU), A. Brandenburg (NORDITA)","Hydrodynamic and hydromagnetic energy spectra from large eddy
  simulations","8 pages, 9 figs, Phys. Fluids (in press)","Phys.Fluids 18 (2006) 075106","10.1063/1.2222399","NORDITA-2004-113","astro-ph",,"  Direct and large eddy simulations of hydrodynamic and hydromagnetic
turbulence have been performed in an attempt to isolate artifacts from real and
possibly asymptotic features in the energy spectra. It is shown that in a
hydrodynamic turbulence simulation with a Smagorinsky subgrid scale model using
512^3 meshpoints two important features of the 4096^3 simulation on the Earth
simulator (Kaneda et al. 2003, Phys. Fluids 15, L21) are reproduced: a k^{-0.1}
correction to the inertial range with a k^{-5/3} Kolmogorov slope and the form
of the bottleneck just before the dissipative subrange. Furthermore, it is
shown that, while a Smagorinsky-type model for the induction equation causes an
artificial and unacceptable reduction in the dynamo efficiency,
hyper-resistivity yields good agreement with direct simulations. In the
large-scale part of the inertial range, an excess of the spectral magnetic
energy over the spectral kinetic energy is confirmed. However, a trend towards
spectral equipartition at smaller scales in the inertial range can be
identified. With magnetic fields, no explicit bottleneck effect is seen.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:37:17 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jun 2006 05:15:55 GMT""}]","2007-05-23"
"astro-ph/0412667","Andrew Gould","Andrew Gould (OSU), Juna A. Kollmeier (OSU), Julio Chaname (OSU),
  Samir Salim (UCLA)","Halo Luminosity Function From Photometric Calibration of the Revised
  NLTT","Submitted to ApJ. 20 pages including 4 figures and 1 table",,,,"astro-ph",,"  We calibrate the photographic photometry of the revised New Luyten Two-Tenths
catalog (rNLTT) by matching 3448 rNLTT stars to the Sloan Digital Sky Survey
(SDSS). The correction is linear in magnitude and goes from zero at V ~ 14 to
0.32 mag at V=19, in the sense that rNLTT was previously too bright. The
correction implies that the underlying USNO-A2.0 photometry, on which rNLTT
photometry is based, is non-linear. The new calibration somewhat improves the
appearance of the (V,V-J) reduced proper motion diagram in the sense of better
separation between disk and halo stars. We repeat Gould's analysis of 5000 halo
stars in rNLTT. The most important change is to move the peak of the halo
luminosity function about 0.5 mag dimmer, from M_V=10.5 to M_V=11, putting it
into good agreement with the parallax-based determination of Dahn et al.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:57:38 GMT""}]","2007-05-23"
"astro-ph/0412668","John H. Debes","J.H. Debes, S. Sigurdsson, B. Woodgate","Cool Customers in the Stellar Graveyard I: Limits to Extrasolar Planets
  Around the White Dwarf G29-38","20 pages, 4 figures, Accepted to ApJ","Astrophys.J. 633 (2005) 1168-1174","10.1086/491640",,"astro-ph",,"  We present high contrast images of the hydrogen white dwarf G 29-38 taken in
the near infrared with the Hubble Space Telescope and the Gemini North
Telescope as part of a high contrast imaging search for substellar objects in
orbit around nearby white dwarfs.
  We review the current limits on planetary companions for G29-38, the only
nearby white dwarf with an infrared excess due to a dust disk. We add our
recent observations to these limits to produce extremely tight constraints on
the types of possible companions that could be present. No objects $>$ 6
M$_{Jup}$ are detected in our data at projected separations $>$ 12 AU, and no
objects $>$ 16 M$_{Jup}$ are detected for separations from 3 to 12 AU, assuming
a total system age of 1 Gyr. Limits for companions at separations $<$ 3 AU come
from a combination of 2MASS photometry and previous studies of G29-38's
pulsations. Our imaging with Gemini cannot confirm a tentative claim for the
presence of a low mass brown dwarf. These observations demonstrate that a
careful combination of several techniques can probe nearby white dwarfs for
large planets and low mass brown dwarfs.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:58:01 GMT""},{""version"":""v2"",""created"":""Wed, 28 Sep 2005 19:51:16 GMT""}]","2009-11-10"
"astro-ph/0412669","John H. Debes","J.H. Debes, S. Sigurdsson, B. Woodgate","Cool Customers in the Stellar Graveyard II: Limits to Substellar Objects
  Around Nearby DAZ White Dwarfs","11 pages, 7 figures, emulateapj, revisions to figures and text, to
  appear in September AJ","Astron.J.130:1221-1230,2005","10.1086/432660",,"astro-ph",,"  Results from a concerted Hubble Space Telescope (HST) survey of nearby white
dwarfs for substellar objects is presented. A total of 7 DAZ white dwarfs with
distances of $<$ 50 pc had high contrast and high spatial resolution NICMOS
coronagraphic images taken to search for candidate substellar objects at
separations $\ltorder$10\arcsec away. Limits to unresolved companions are
derived through analysis of 2MASS photometry of the white dwarfs compared to
expected fluxes based on the WDs effective temperature, distance, and gravity.
  From our survey with HST we find several candidate companions, which have
been or will be followed up with second epoch observations. We find that for
four of the white dwarfs we are sensitive to planetary companions $\gtorder$10
M$_{Jup}$, and sensitive to companions $>$ 18 M$_{Jup}$ for all of the targets.
The lack of significant near infrared excesses for our targets limits any kind
of unresolved companions present to be substellar. In light of these results we
make several comments on the possibility of determining the origin of white
dwarfs with metals in their atmospheres.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:58:27 GMT""},{""version"":""v2"",""created"":""Tue, 12 Jul 2005 19:07:37 GMT""}]","2008-11-26"
"astro-ph/0412670","Jonathan E. Grindlay","Jonathan E. Grindlay","Chandra Studies of Millisecond Pulsars in Globular Clusters","Invited talk at Aspen Conference (January 2004) on Binary Pulsars; to
  appear in ""Binary Pulsars"" Eds. F. Rasio & I. Stairs, PASP; 18 pages, 8
  figures",,,,"astro-ph",,"  The high resolution X-ray imaging and broad-band moderate resolution spectra
enabled by the ACIS cameras on the Chandra X-ray Observatory have opened a new
window in our study of millisecond pulsars (MSPs). Given the large excess of
MSPs in globular clusters vs. the field, globular clusters are the favored
sites for MSP study. Globular clusters (GCs) offer advantages of both known
distance and likely MSP formation mechanisms but are complicated (or made more
interesting!) by the complexities of subsequent MSP dynamical interactions.
Here I review recent X-ray studies, focusing on our recent deep Chandra study
of 47Tuc, which provide new constraints on both the spectra (thermal and non
thermal) and evolution of MSPs and their encounters with both cluster and field
stars.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:58:50 GMT""}]","2007-05-23"
